[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.692 | 19.02.2014 16:53:37.692
[Profiler] | 0,000054 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.writeProperty(..) | 19.02.2014 16:53:37.697 | 19.02.2014 16:53:37.697
[Profiler] | 0,004930 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.692 | 19.02.2014 16:53:37.697
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.697 | 19.02.2014 16:53:37.697
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.698 | 19.02.2014 16:53:37.698
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.698 | 19.02.2014 16:53:37.698
[Profiler] | 0,000042 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.insertNullValueIntoCache(..) | 19.02.2014 16:53:37.698 | 19.02.2014 16:53:37.698
[Profiler] | 0,000268 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService RemoteConfigurationService.insertNullValueIntoCache(..) | 19.02.2014 16:53:37.698 | 19.02.2014 16:53:37.698
[Profiler] | 0,036834 |vwg.omd.nw2 | class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getStringPropertyValue(..) | 19.02.2014 16:53:37.662 | 19.02.2014 16:53:37.699
[Profiler] | 0,000027 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getAuthorizedPages() | 19.02.2014 16:53:37.699 | 19.02.2014 16:53:37.699
[Profiler] | 0,000032 |vwg.omd.nw2 | class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getXmlString() | 19.02.2014 16:53:37.699 | 19.02.2014 16:53:37.699
[Profiler] | 0,000026 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getEffectiveTenant() | 19.02.2014 16:53:37.700 | 19.02.2014 16:53:37.700
[Profiler] | 0,000028 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getClientAppName() | 19.02.2014 16:53:37.700 | 19.02.2014 16:53:37.700
[Profiler] | 0,000030 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getClientAppProcess() | 19.02.2014 16:53:37.701 | 19.02.2014 16:53:37.701
[Profiler] | 0,000003 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.706 | 19.02.2014 16:53:37.706
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.706 | 19.02.2014 16:53:37.706
[Profiler] | 0,000074 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.707 | 19.02.2014 16:53:37.707
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.707 | 19.02.2014 16:53:37.707
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.707 | 19.02.2014 16:53:37.707
[Profiler] | 0,000005 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.733 | 19.02.2014 16:53:37.733
